text,final_label
mákaànjúolá early morning freestyle àkànó akéwì wacthout for more bbcnewsyoruba,INDETERMINATE
òjò dúdú bọ̀lọ̀jọ̀,NEUTRAL
ẹkùn alábẹlọ́wọ́ náà ó fi bẹ́ẹ̀ kùn nínú igbó àti pé igbó tí yóò ti kùn dà láyé tí a wà yìí àwọn apẹranjayé ti pa kíkùn m,NEGATIVE
ìyáàfin kemi ariyo eni sọbe iro lopa oh,NEGATIVE
its a year throw back video o ya o a tún gbedé o èyin omo káàrò òjire o àló tòní re o kíni ìdáhún ti yín o,NEUTRAL
the or proverb jìgìjìgì ò s̩éé fà tu translates to a firmly rooted plant cannot be you cant lose,NEUTRAL
odò ti ó bá gbàgbé orisun gbi gbẹ ló ngbẹ yoruba proverb a river that forgets its source will eventually dry up,NEGATIVE
a kì í gbórí odó perí odó a kì í gbórí ọ̀dán pète ìlú ìmọ̀ràn tí wọn ń bórìṣà gbà títúká ní ń tú ká orín ni ìtúm,NEGATIVE
ẹ kú ojúmọ́ o gbogbo àwọn ará ilé ń kọ́ ‍️ ìgbòkègbodò wa lọ́sẹ̀ yí ò níí já sí asán good morning how are you and your household wishing you success in all your endeavours this week,POSITIVE
àyè kì í há adìyẹ kó mà lè dé ìdí àba rẹ̀ a hen is never too busy to brood over its eggs we always make time for what is crucial to us,POSITIVE
jẹbẹtẹ gbọ́mọ lé sanwóolú lọ́wọ́ inúu sanwóolú bàjẹ́ ìdí láperí domi nígbà tí ó gbúròó ìbọn ẹ̀rú ba láperí nígbà tí ó gbúròó ìbọn,NEGATIVE
mo gbọ́ orin arò awẹ́lẹ́wẹ̀ tí ó sájú wọlẹ̀ ó sì wọ̀ mí ní akínyẹmí ara ká yọ ti ìyìnrere kúrò ògidì ọmọ yoòbá ni níṣe ni ọ̀kọ̀ọ̀kan irun ara mi dìde gànngàn àwọn àṣàyàn ọ̀rọ̀ wọ̀nyí bùáyà,POSITIVE
eegun ni bọ́ọ́gọ́ poolo orí ni agbárí ni òkú a àǹjọ̀nú b ẹbọra d ẹ̀mí,NEUTRAL
ọwọ́ ọmọdé ò tó pẹpẹ,NEUTRAL
ṣe ìṣirò x =,NEUTRAL
alifabeeti ati faweli yorùbá pelu ibasepo àpẹẹrẹ ni ede gẹesi ejeki a ko mo lede asa ati iṣe ile wa oo,POSITIVE
mo fé dóbò,NEUTRAL
ẹ káárọ̀ gbogbo ilé ńkọ́ ‍️ ọ̀sẹ̀ yí á tù wá lára láṣẹ èdùmàrè good morning hows the family may this new week be a positive one for us by gods grace,POSITIVE
adeyinka the number one mc for for the day thank you for turning up and giving your best mo dupẹ lọpọlọpọ,POSITIVE
mo ya nile akọgun lati yá ogún ọmọ ogun lati jagun aye,NEUTRAL
what is èjì ogbè èjì ogbè is the number one odù ifá ifá corpus out of the two hundred fiftysix odù ifá available to human being èji ogbè is deemed as baba ifá hence the saying in ifá and òrìṣà circle that èjì ogbè baba ifá that èjì ogbè father of all ifá,NEUTRAL
ǹjẹ́ ìwọ́ mọ̀ wípé nítorí ìṣe bí omi àtisánmà wá ṣe máa ń ro bíi omi inú agbọ̀nihò ni yorùbá fi pe omi nì ní òjò ohun ń jò,NEUTRAL
lẹ́búlẹ́bú ni ìyẹ̀fun bíi èlùbọ́ àmọ́ kí ni ìyẹ̀fùn,NEUTRAL
ògùngùn = òògùn = oorun èwìwọ̀ = èèwọ̀,NEUTRAL
tweet ni tweet ńjẹ́ ìyẹn là ń pè ní ọ̀rọ̀ àyálò,NEUTRAL
obìẹdun rè é èso àti ewée obì yìí kápáa kòkòròinúẹ̀jẹ̀ bí làpálàpá arajíjánijẹ àti àrùn ojú httpst,NEUTRAL
ìjọba ìgbàlódé ti fi ọjọ́ pípẹ́ ba àṣà ìbílẹ̀ jẹ́ wọ́n ti fi ìṣẹ̀ṣe ṣe yẹ̀yẹ́ wọn kò fẹ́ ìlọsíwájú nǹkan ìbílẹ̀ ọ̀ràn orísìírísìí ni àjọ ọba òde òní ń dá ẹ wo pálapàla ti ìwó nípìínlẹ̀ ọ̀ṣun tí ó ṣẹlẹ̀,NEGATIVE
òru là ń ṣèkà ẹni tí ó bá ṣe é lọ́sànán ò ní fi ara ire lọ,NEGATIVE
ìwà àtàtà ni í gbé ni níyì láyé ìṣe ibi kò wúlò ohun gbogbo la gbé karí ìwà ìwà lo rẹrù tó pọ̀ láyé ìwà ni o túnṣe má ṣòògùn jáwọ́ nínú rìkísí tẹ̀ǹbẹ̀lẹ̀kun ò lérè kan àdániwáyé ń rí ọ má ṣe ṣìkà ẹ̀dá,POSITIVE
ikú fẹ́ pa alápatà ó ńkígbe ọmọ ẹranko tó ti dá lóró ńkọ́ death stalks the butcher and he screams what about the an,NEGATIVE
kò pẹ́ kò jìnà àwọn náà di ọlọ́mọ láti ìgbà náà lọ ni àwọn èèyàn ti mú àṣà gẹ̀lẹ̀dẹ́ àti ẹ̀ẹ̀fẹ̀ ní gbòógì,POSITIVE
bí ojú ò bá ti ẹ̀yìnìgbẹ̀tì ojú ò le è ti èkó,POSITIVE
my story on medical experimentation in africa now in thanks to covid ṣe àgbéǹde ìṣẹ̀lẹ̀àtẹ̀yìnwá tó burú jáì nípa ìdánwò egbògi ní ilẹ̀adúláwọ̀,NEGATIVE
united nations dídáàbò bo àjogúnbá ayédáyé ìran yorùbá sọ pé ó tó gẹ́ sí ìkónilẹ́rú ẹlẹ́ẹ̀kejì ẹ̀sìn ìgbàgbọ́ bí o bá jẹ́ ọmọ oòduà tọkàntọkàn fi ọwọ́ bọ ìwé ènìní yìí,POSITIVE
báa gún iyán nínú ewé táa se ọbẹ̀ nínú èpo ẹ̀pà ẹní máa yó á yó even if we pound yam in a leaf and prepare the soup in a groundnut pod those who will be full will be regardless of conditions those who will thrive will be positive be hopeful,POSITIVE
ẹni oòrùn kò pa tí òjò kò pa,NEGATIVE
ká má tanra wa jẹ́ ìṣẹ̀ṣe làgbà lóòtítọ́ àti lódodo,POSITIVE
fiayokemioluwa in ajegunle yorùbátv ẹgbẹ ọmọ olúwa bí gbogbo àgbáyé ojú òpó ìkànsíraẹni □ yoruba tv,NEUTRAL
bí a kò bá dẹ́kun ìgbìyànjú bópẹ́ bóyá akitiyan á dópin lọ́jọ́ kan if one wont give up trying ones hustling wil,POSITIVE
i le ẹrún awọn languge daradara,POSITIVE
ògbójú ode nínú igbó irúmalè,NEUTRAL
ogún ọdún tí ebí ti ńpa ọ̀gà ìrin fàájì ò kúrò lẹ́sẹ̀ ẹ rẹ̀ even after remaining famished for twenty years the ch,NEGATIVE
jẹ òbítíbitì owó ẹ̀bùn àtẹ́lẹwọ́ fún lítírésọ̀ yorùbá ti ọdún o ku ọjọ́ mẹ́rìnlá o lọ sí orí àpèrè wa fún ẹ̀kúnrẹ́rẹ́ àlàyé ní,NEUTRAL
ebi kì í wọnú kí ọ̀rọ̀ mí ì wọ̀ ọ́ once hunger enters a stomach no other issue will be permitted entry put firs,NEUTRAL
ìyá máì gé e bàbá máì gé e ìyá máì gé e baba máì gé e o baba máì gé oooo aráyé ẹ gbọ́ o rìkíṣí ti dé o kò sáyọ̀ nílé o,NEGATIVE
ẹni tí ó bá hùwà lónìí tí ó pẹ̀yìndà ṣé àṣegbé wà ni àbí kò sí àtúbọ̀tán adéṣewà hu ìwà kan nígbà ọ̀dọ́ rẹ̀ ó sì pẹ̀yìndà ǹjẹ́ ìwà náà kò ní àtúbọ̀tán ni ṣé ó bọ́ nínú ọ̀rọ̀ ọjọ́sí báwo ni ó ṣe bọ́ níbẹ̀,NEUTRAL
imọẹrọ wa ni iṣawari fun gbigbe owo ailewu ṣayẹwo awọn iroyin lati wa idi ti a fi gbagbọ ninu awọn ilana jijo,NEUTRAL
ẹ̀yin ọmọ káàrò òjire o àlọ́ tòní re o kíni ìdáhún ti yín o,NEUTRAL
yorùbátv ẹgbẹ ọmọ olúwa bí gbogbo àgbáyé ojú òpó ìkànsíraẹni □ yoruba tv,NEUTRAL
mo ní àwòrán fún àwọn ẹ̀dáìtàn àwòrán òrìṣà tí ẹ ń gbé jáde,NEUTRAL
sànán làárìn ajé ló ń múni pẹ́ kọ̀rọ̀ whats your understanding of this proverb,NEUTRAL
ẹ̀gúsí ni a fi ṣe ògìrì ẹ̀wà la fi ṣe gbẹ̀gìrì ni a fi ṣe ègbo,NEUTRAL
alàgbá lọ ọdúnun ni mo kọ́kọ́ fi ojúù mi kòró kan àjàpá inú ààfin ṣọ̀ún ògbómọ̀ṣọ́ yìí níbi tí ìjàpá yìí gbó dé bí wọ́n ń bá ń ṣe ìwúre wọ́n máa ń fi ọjọ́ orí ẹranko yìí wúre wọ́n á ní wà á pẹ́ láyé bí ìjàpá ààfin ògbómọ̀ṣọ́,POSITIVE
kókó inú òwe àjùmọ̀jẹ́ ò pé fẹ́nì kan ohun ẹni níí báni kalẹ́ proverb theme the significance of standing out rather than fitting in ẹ lè wo fídíò rẹ̀ níbí you can watch the video here,NEUTRAL
ǹjẹ́ ìwọ́ mọ̀ wípé láyée aláàfin onísile ni a ṣẹ̀ṣọ́ fún ṣẹ̀kẹ̀rẹ̀ owó ẹyọ ni àkọ́kọ́ kí a tó so iyùn okúnàkún ẹrinla àti sẹ̀gi mọ́n ara kèrègbè,NEUTRAL
adìyẹ ńjẹ yangan ó ńmu omi ó ńgbé ókúta mì ó tún ńsunkún àìléyín ṣé òbúkọ tó léyín ńjẹ irin ni hens eat corns drink water and swallow stones yet lament lacking teeth do goats that have teeth chew pieces of iron contentment is it greed breeds stress,NEGATIVE
eiye ayékòtító papagaio,NEUTRAL
ko sohun ti mo mu wa mo rọ̀ mọ agbelebu mo wa kodasọ̀ bo mi mo nwo ọ fún iranwọ mo wà siborisun ní wẹ mí olu,POSITIVE
bí a bá yan olórò lórèé ni ìlú òrè ko pe ki o tani lóre literaly if you befriend a wealthy man in ore town doesnt mean he will help someone,NEUTRAL
ẹni tí kò tó ni í nà tó ńdènà deni àjẹkún ìyà ni yóò jẹ whoever cannot defeat someone in a fight but decides to waylay the person courts severe purnishment exercise selfcontrol dont be presumptuous,NEGATIVE
ọdẹ tó bá ṣiyèméjì òun lẹranko ńpa an indecisive hunter easily gets killed by an animal in the forest be decisive indecision can come with intolerable risks,NEGATIVE
yorùbá word of the day àgàgà another word for àgàgà is pàápàá jùlọ tell us wordsthings you would like to learn,NEUTRAL
orí làbábo goodmorning,NEUTRAL
àjànàkú ti ń dohun ìgbàgbé àgbọ̀nréré náà ńkọ́ àwọn jagunlabí inú igbó ti fẹ́rẹ̀ẹ́ pa ẹranko oníwo àrà níwájú àtàrí tán ẹgbẹlẹmùkù owó ni wọ́n ń ta ìwo àrà náà,NEGATIVE
